"","neighbourhood_group","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365","sentiment_score","new_factor"
"29006","Queens",40.75971,-73.86607,"Entire home/apt",90,2,2,2,1,135,0.680336051416609,"Entire home/apt:Queens"
"29007","Queens",40.68263,-73.72597,"Private room",79,1,3,3,3,89,0.353553390593274,"Private room:Queens"
"29008","Queens",40.69405,-73.86693,"Private room",66,2,2,2,2,364,0.510252038562457,"Private room:Queens"
"29009","Manhattan",40.72546,-73.98703,"Entire home/apt",235,3,1,1,1,326,0.188982236504614,"Entire home/apt:Manhattan"
"29010","Manhattan",40.75205,-73.97076,"Private room",100,1,1,1,1,1,0.41576092031015,"Private room:Manhattan"
"29011","Brooklyn",40.66076,-73.98475,"Entire home/apt",125,2,2,2,1,9,0.601040764008565,"Entire home/apt:Brooklyn"
"29012","Manhattan",40.76125,-73.99506,"Entire home/apt",200,3,1,1,1,39,0,"Entire home/apt:Manhattan"
"29013","Manhattan",40.83029,-73.94191,"Private room",60,1,3,3,2,49,0.0408248290463863,"Private room:Manhattan"
"29014","Brooklyn",40.71186,-73.9399,"Private room",59,2,2,2,3,74,0.05,"Private room:Brooklyn"
"29015","Manhattan",40.82856,-73.94021,"Private room",60,1,2,2,2,33,0.264575131106459,"Private room:Manhattan"
"29016","Brooklyn",40.688,-73.97008,"Entire home/apt",199,2,1,1,1,68,0.377964473009227,"Entire home/apt:Brooklyn"
"29017","Brooklyn",40.71109,-73.96191,"Entire home/apt",100,2,1,1,1,296,0.335410196624968,"Entire home/apt:Brooklyn"
"29018","Manhattan",40.71047,-74.00761,"Entire home/apt",150,30,1,1,1,53,0.28347335475692,"Entire home/apt:Manhattan"
"29019","Queens",40.73681,-73.92024,"Private room",80,2,2,2,2,188,0.510310363079829,"Private room:Queens"
"29020","Brooklyn",40.71246,-73.94014,"Private room",57,2,1,1,3,16,0.0447213595499958,"Private room:Brooklyn"
"29021","Brooklyn",40.70907,-73.95054,"Entire home/apt",599,2,1,1,1,346,0,"Entire home/apt:Brooklyn"
"29022","Queens",40.77441,-73.93641,"Private room",50,2,1,1,1,1,0,"Private room:Queens"
"29023","Manhattan",40.74263,-74.00234,"Entire home/apt",800,3,1,1,1,345,0,"Entire home/apt:Manhattan"
"29024","Queens",40.70491,-73.91024,"Private room",45,2,1,1,1,133,0.25,"Private room:Queens"
"29025","Brooklyn",40.68783,-73.96061,"Shared room",40,1,3,3,6,350,0,"Shared room:Brooklyn"
"29026","Brooklyn",40.71336,-73.95865,"Entire home/apt",150,5,1,1,1,327,0,"Entire home/apt:Brooklyn"
"29027","Manhattan",40.76122,-73.98655,"Private room",70,1,2,2,1,39,0.125,"Private room:Manhattan"
"29028","Manhattan",40.72236,-74.00255,"Entire home/apt",125,3,1,1,1,77,0.530330085889911,"Entire home/apt:Manhattan"
"29029","Brooklyn",40.64126,-73.97797,"Entire home/apt",169,1,2,2,1,53,0,"Entire home/apt:Brooklyn"
"29030","Manhattan",40.76384,-73.98248,"Private room",125,1,6,6,1,142,0.377964473009227,"Private room:Manhattan"
"29031","Brooklyn",40.71073,-73.96208,"Private room",80,2,2,2,1,42,0.755928946018454,"Private room:Brooklyn"
"29032","Brooklyn",40.69107,-73.92638,"Private room",56,2,1,1,1,179,0.659739608441171,"Private room:Brooklyn"
"29033","Manhattan",40.82165,-73.95423,"Private room",48,1,1,1,4,128,0.41576092031015,"Private room:Manhattan"
"29034","Manhattan",40.81761,-73.94434,"Private room",80,1,1,1,1,86,0,"Private room:Manhattan"
"29035","Manhattan",40.78635,-73.97636,"Entire home/apt",279,5,2,2,1,346,0.28347335475692,"Entire home/apt:Manhattan"
"29036","Manhattan",40.7223,-73.99508,"Entire home/apt",225,7,1,1,1,76,0,"Entire home/apt:Manhattan"
"29037","Brooklyn",40.71808,-73.94261,"Private room",44,5,1,1,2,40,0.449073119510249,"Private room:Brooklyn"
"29038","Manhattan",40.70328,-74.01099,"Entire home/apt",180,2,2,2,1,295,0.494974746830583,"Entire home/apt:Manhattan"
"29039","Brooklyn",40.64235,-73.95227,"Private room",50,2,1,1,1,7,0.402492235949962,"Private room:Brooklyn"
"29040","Queens",40.76987,-73.80451,"Private room",48,1,3,3,2,166,0.441941738241592,"Private room:Queens"
"29041","Queens",40.76986,-73.80515,"Private room",49,1,2,2,2,168,0.833333333333333,"Private room:Queens"
"29042","Bronx",40.91306,-73.89389,"Private room",40,1,1,1,3,175,0.25,"Private room:Bronx"
"29043","Queens",40.72124,-73.80072,"Entire home/apt",68,2,2,2,1,43,0.5,"Entire home/apt:Queens"
"29044","Brooklyn",40.6838,-73.92854,"Private room",75,1,7,7,1,326,0,"Private room:Brooklyn"
"29045","Bronx",40.91167,-73.89566,"Private room",40,1,1,1,3,174,0.188982236504614,"Private room:Bronx"
"29046","Queens",40.75755,-73.88199,"Private room",50,1,3,3,3,359,0,"Private room:Queens"
"29047","Brooklyn",40.62351,-73.95509,"Private room",120,1,2,2,3,330,0.604743156814764,"Private room:Brooklyn"
"29048","Brooklyn",40.57759,-73.96218,"Private room",75,1,2,2,2,353,0.353553390593274,"Private room:Brooklyn"
"29049","Manhattan",40.76557,-73.9909,"Private room",185,4,1,1,1,50,0.583333333333333,"Private room:Manhattan"
"29050","Manhattan",40.71895,-73.98813,"Entire home/apt",99,2,1,1,1,333,0.75,"Entire home/apt:Manhattan"
"29051","Brooklyn",40.70187,-73.92389,"Private room",50,1,1,1,2,11,0.795495128834866,"Private room:Brooklyn"
"29052","Brooklyn",40.7144,-73.95757,"Entire home/apt",155,1,2,2,1,88,0.176776695296637,"Entire home/apt:Brooklyn"
"29053","Brooklyn",40.70835,-73.95368,"Entire home/apt",270,2,1,1,1,308,0.313049516849971,"Entire home/apt:Brooklyn"
"29054","Bronx",40.85247,-73.86418,"Entire home/apt",60,4,2,2,1,194,0,"Entire home/apt:Bronx"
"29055","Manhattan",40.7982,-73.94422,"Shared room",65,1,2,2,2,170,0.357770876399966,"Shared room:Manhattan"
"29056","Brooklyn",40.64018,-73.99157,"Private room",50,2,1,1,1,25,0.0666666666666667,"Private room:Brooklyn"
"29057","Manhattan",40.76943,-73.95608,"Entire home/apt",165,1,1,1,1,5,0.166666666666667,"Entire home/apt:Manhattan"
"29058","Brooklyn",40.71527,-73.93852,"Entire home/apt",299,3,2,2,1,178,0.204124145231932,"Entire home/apt:Brooklyn"
"29059","Manhattan",40.74605,-73.9773,"Private room",80,1,1,1,1,2,0.544268841133287,"Private room:Manhattan"
"29060","Manhattan",40.79446,-73.94455,"Entire home/apt",170,1,1,1,1,20,0.357770876399966,"Entire home/apt:Manhattan"
"29061","Manhattan",40.80605,-73.94208,"Entire home/apt",175,1,1,1,1,307,0.14142135623731,"Entire home/apt:Manhattan"
"29062","Brooklyn",40.69485,-73.92759,"Private room",69,1,1,1,6,103,0.212132034355964,"Private room:Brooklyn"
"29063","Queens",40.66992,-73.74518,"Private room",34,1,3,3,1,70,0,"Private room:Queens"
"29064","Manhattan",40.78627,-73.97995,"Entire home/apt",149,1,1,1,1,189,0.816496580927726,"Entire home/apt:Manhattan"
"29065","Bronx",40.8349,-73.85259,"Private room",40,3,1,1,1,68,0.41576092031015,"Private room:Bronx"
